#########################################
S     #   #           #   #         #   #
# ### ### ### ##### ### ### ##### ### ###
# #     #     #   #     #     #         #
# ##### #####   # ####### ##### ### ### #
F     # #   # #         #       #     # #
### ### # ### # ####### ### ##### ##### #
#   #         #   #   #         #     # #
### ### ########### ### ##### ### ### ###
#   # #       #     #   #       #   #   #
# # ### ##### ### ### ### ##### # #######
# #     #         #   #     #   #       #
# ####### ### ##### ### ##### ######### #
#       # #   #   #   #   #   #         #
### ### ### ### ### ### ### # ##### ### #
#   # #     # #     # #   # #     # #   #
# ### ##### # ####### ### ### ##### # ###
# #     #   # #         #   #     # #   #
# # ##### ### ### ##### ##### ### # ### #
# #         #     #         #   #       #
#########################################
